,Movies,Worldwide Collections
94,The Age of Adaline,"$65,663,276"
95,Zhongkui: Snow Girl and the Dark Crystal,"$64,325,947"
96,The Danish Girl,"$64,191,523"
97,The Boy,"$64,188,367"
98,The Longest Ride,"$62,944,815"
99,Unfriended,"$62,882,090"
100,Brooklyn,"$62,076,141"
101,"Dragon Ball Z: Resurrection ""F""","$61,768,190"
102,Woman in Gold,"$61,619,773"
103,Krampus,"$61,548,707"
104,The Perfect Guy,"$60,273,173"
105,Forever Young,"$59,981,902"
106,Miss Granny,"$59,396,311"
107,The Gift,"$58,978,653"
108,No Escape,"$54,418,872"
109,Sinister 2,"$53,329,150"
110,Found a Treasure Called Love,"$52,715,771"
111,The Boy Next Door,"$52,425,855"
112,The Night Before,"$52,395,996"
113,Hot Pursuit,"$51,380,201"
114,The Himalayas,"$50,544,493"
115,The Boy and the Beast,"$49,714,378"
116,Surprise,"$49,567,466"
117,Entourage,"$49,263,404"
118,The Woman in Black 2: Angel of Death,"$48,854,305"
119,Concussion,"$48,623,572"
120,Mortdecai,"$47,275,695"
121,Let's Get Married,"$45,972,724"
122,Somewhere Only We Know,"$45,737,711"
123,"McFarland, USA","$45,710,059"
124,Hero,"$45,565,534"
125,Still Alice,"$44,779,195"
126,Max,"$43,967,255"
127,The DUFF,"$43,709,744"
128,Legend,"$42,972,994"
129,The Gallows,"$42,964,410"
130,Love the Coopers,"$42,426,912"
131,The Lady in the Van,"$41,387,687"
132,Ricki and the Flash,"$41,325,328"
133,Carol,"$40,272,135"
134,Northern Limit Line,"$40,034,677"
135,Criminal,"$38,803,993"
136,Boruto: Naruto The Movie,"$38,362,448"
137,The Lazarus Effect,"$38,356,892"
138,A Walk in the Woods,"$37,461,274"
139,Ex Machina,"$36,869,414"
140,Burnt,"$36,606,743"
141,The Priests,"$36,577,134"
142,Room,"$35,401,758"
143,Lost and Love,"$34,930,177"
144,Secret in Their Eyes,"$34,854,990"
145,Steve Jobs,"$34,441,873"
146,Victor Frankenstein,"$34,227,298"
147,The Witness,"$33,963,557"
148,Project Almanac,"$33,213,241"
149,Dilwale,"$31,994,323"
150,Suffragette,"$31,972,096"
151,Self/less,"$31,807,156"
152,Saving Mr. Wu,"$31,222,161"
153,Attack on Titan Part 1,"$30,810,658"
154,A Man Called Ove,"$30,691,696"
155,Far from the Madding Crowd,"$30,229,977"
156,Mr. Holmes,"$29,355,203"
157,Love & Mercy,"$28,641,776"
158,The 33,"$27,972,023"
159,Irrational Man,"$27,391,084"
160,Detective K: Secret of the Lost Island,"$27,387,870"
161,American Ultra,"$27,262,374"
162,Aloha,"$26,250,020"
163,Huevos: Little Rooster's Egg-cellent Adventure,"$25,892,561"
164,Wild City,"$24,817,852"
165,Capture the Flag,"$24,604,331"
166,The Gunman,"$24,177,137"
167,The Dressmaker,"$23,762,417"
168,Amy,"$23,706,049"
169,Youth,"$23,469,540"
170,Solace,"$22,354,572"
171,Twenty,"$22,271,862"
172,Fifty Shades of Black,"$22,227,514"
173,Black or White,"$21,833,967"
174,Welcome Back,"$21,775,694"
175,It Follows,"$21,528,593"
176,Love Live! The School Idol Movie,"$21,292,009"
177,The Clan,"$20,381,995"
178,Singh Is Bliing,"$20,224,851"
179,Brothers,"$19,694,450"
180,Blackhat,"$19,652,057"
181,Dope,"$17,986,781"
182,Regression,"$17,671,101"
183,Neerja,"$17,618,280"
184,Little Boy,"$17,572,289"
185,While We're Young,"$17,287,309"
186,Monkey Kingdom,"$16,839,663"
187,Macbeth,"$16,322,067"
188,Gangnam Blues,"$16,191,434"
189,Scouts Guide to the Zombie Apocalypse,"$16,137,046"
190,The Brand New Testament,"$15,709,652"
191,Chronicles of Evil,"$15,460,494"
192,Our Little Sister,"$15,407,615"
193,Attack on Titan Part 2,"$15,186,410"
194,Spectacle,"$15,159,762"
195,Unfinished Business,"$14,431,253"
196,45 Years,"$14,430,249"
197,Do You Believe?,"$14,410,698"
198,Woodlawn,"$14,401,617"
199,The Beauty Inside,"$14,301,869"
200,Shaandaar,"$14,120,808"
201,Back To The Future Day,"$13,810,000"
202,Phantom,"$13,676,590"
203,Love Forecast,"$13,608,637"
204,Strange Magic,"$13,603,453"
205,Hot Tub Time Machine 2,"$13,081,651"
206,The Vatican Tapes,"$13,015,764"
207,Pyaar Ka Punchnama 2,"$12,983,721"
208,The Wave,"$12,975,143"
209,Child 44,"$12,951,093"
210,The Green Inferno,"$12,666,449"
211,The Assassin,"$11,991,669"
212,C'est Si Bon,"$11,750,035"
213,Trumbo,"$11,430,025"
214,Bajirao Mastani,"$11,350,917"
215,Tomorrow,"$11,277,905"
216,We Are Your Friends,"$11,122,090"
217,Only You,"$10,857,889"
218,Danny Collins,"$10,835,752"
219,The Phone,"$10,551,318"
220,A Little Chaos,"$10,084,623"
221,Me and Earl and the Dying Girl,"$9,074,749"
222,Truman,"$9,027,600"
223,Marguerite,"$8,754,356"
224,Our Brand Is Crisis,"$8,527,658"
225,The Office,"$8,290,521"
226,My King,"$8,003,331"
227,The Ark of Mr Chow,"$7,894,075"
228,Salut d'Amour,"$7,858,183"
229,Mia madre,"$7,723,656"
230,Lolo,"$7,663,798"
231,Klovn Forever,"$7,585,569"
232,Miss You Already,"$7,573,997"
233,The Advocate: A Missing Body,"$7,550,177"
234,A Bigger Splash,"$7,545,758"
235,Big Game,"$7,455,398"
236,I'll See You in My Dreams,"$7,452,512"
237,Grandma,"$7,205,073"
238,Talvar,"$6,879,098"
239,Baahubali: The Beginning,"$6,787,855"
240,Wild Card,"$6,738,764"
241,Son of Saul,"$6,659,121"
242,The Measure of a Man,"$6,518,931"
243,The Lobster,"$6,504,366"
244,A Journey Through Time with Antony,"$6,389,648"
245,Sheng zhe wei wang,"$6,313,827"
246,Absolutely Anything,"$6,303,792"
247,She's Funny That Way,"$6,034,851"
248,Learning to Drive,"$5,967,516"
249,Testament of Youth,"$5,874,883"
250,Anomalisa,"$5,659,286"
251,Fathers & Daughters,"$5,587,709"
252,Knock Knock,"$5,567,103"
253,Last Cab to Darwin,"$5,543,036"
254,Tale of Tales,"$5,497,104"
255,The Student and Mister Henri,"$5,411,932"
256,Truth,"$5,383,097"
257,Mustang,"$5,274,664"
258,True Story,"$5,261,595"
259,Mountains May Depart,"$5,210,160"
260,MI-5,"$5,161,464"
261,Mr. X,"$5,061,387"
262,Worlds Apart,"$5,011,560"
263,90 Minutes in Heaven,"$4,842,699"
264,A Royal Night Out,"$4,779,170"
265,Men & Chicken,"$4,765,472"
266,Sweet Bean,"$4,720,010"
267,Heneral Luna,"$4,625,639"
268,Blinky Bill the Movie,"$4,344,536"
269,Standing Tall,"$4,323,120"
270,Tanu Weds Manu Returns,"$4,180,081"
271,Dil Dhadakne Do,"$4,161,630"
272,Katti Batti,"$4,079,135"
273,A Perfect Day,"$4,009,440"
274,Taxi,"$3,906,227"
275,Sweet 20,"$3,810,429"
276,Summertime,"$3,719,031"
277,Spare Parts,"$3,701,281"
278,5 Flights Up,"$3,679,847"
279,A la mala,"$3,646,627"
280,Ladrones,"$3,504,414"
281,He Named Me Malala,"$3,433,606"
282,Rock the Kasbah,"$3,394,174"
283,Mistress America,"$3,340,737"
284,The Program,"$3,335,613"
285,By the Sea,"$3,334,927"
286,Heist,"$3,294,317"
287,In Harmony,"$3,242,445"
288,Sleeping with Other People,"$3,224,947"
289,Embrace of the Serpent,"$3,217,176"
290,I,"$3,200,113"
291,Victoria,"$3,191,971"
292,Empire of Lust,"$3,191,168"
293,Land of Mine,"$3,169,553"
294,The People Vs. Fritz Bauer,"$3,083,973"
295,The End of the Tour,"$3,072,991"
296,Jane Got a Gun,"$3,067,531"
297,Remember,"$3,054,936"
298,The Second Mother,"$3,003,560"
299,The Last: Naruto the Movie,"$2,949,185"
300,Captive,"$2,801,508"
301,Chi-Raq,"$2,719,699"
302,Piku,"$2,452,343"
303,The Oscar Nominated Short Films 2015: Live Action,"$2,412,593"
304,Cake,"$2,360,281"
305,Memories of the Sword,"$2,345,062"
306,Meru,"$2,334,228"
307,Jem and the Holograms,"$2,333,684"
308,WARx2,"$2,310,625"
309,My All-American,"$2,246,000"
310,Goodnight Mommy,"$2,193,474"
311,The Benefactor,"$2,159,380"
312,A Fool,"$2,067,820"
313,Diary of a Chambermaid,"$1,971,247"
314,Old Fashioned,"$1,914,090"
315,Game of Thrones Season 4 Finale,"$1,896,092"
316,The Hallow,"$1,862,407"
317,99 Homes,"$1,828,232"
318,Rams,"$1,826,583"
319,Infinitely Polar Bear,"$1,824,678"
320,The Diary of a Teenage Girl,"$1,775,133"
321,Dior and I,"$1,769,832"
322,Meet the Patels,"$1,700,681"
323,Janis: Little Girl Blue,"$1,683,166"
324,The Bride,"$1,682,689"
325,The Letters,"$1,647,416"
326,Iris,"$1,620,708"
327,Queen of the Desert,"$1,592,853"
328,My Golden Days,"$1,509,773"
329,Good Kill,"$1,474,471"
330,Freeheld,"$1,474,471"
331,The Wolfpack,"$1,414,140"
332,Maggie,"$1,394,052"
333,Ma ma,"$1,375,709"
334,The Cokeville Miracle,"$1,348,456"
335,Barney Thomson,"$1,336,254"
336,Ghost in the Shell: The New Movie,"$1,332,311"
337,Come What May,"$1,309,818"
338,Les Cowboys,"$1,302,493"
339,Sunset Song,"$1,302,482"
340,Slow West,"$1,295,574"
341,Valley of Love,"$1,264,277"
342,Beyond the Mask,"$1,236,094"
343,Life,"$1,231,606"
344,That Sugar Film,"$1,226,399"
345,Any Body Can Dance 2,"$1,176,958"
346,Louder Than Bombs,"$1,160,724"
347,Where Hope Grows,"$1,159,072"
348,Cartel Land,"$1,145,923"
349,A War,"$1,114,663"
350,The Overnight,"$1,110,522"
351,Beyond the Reach,"$1,100,432"
352,A Brilliant Young Mind,"$1,043,620"
353,Knight of Cups,"$1,026,288"
354,Tangerines,"$1,024,132"
355,Big Stone Gap,"$1,012,804"
356,L'attesa,"$1,010,766"
357,Far from Men,"$1,010,485"
358,Francofonia,"$1,008,154"
359,Faith of Our Fathers,"$1,004,105"
360,Gabbar is Back,"$998,582"
361,The Farewell Party,"$951,531"
362,Barely Lethal,"$933,847"
363,A Borrowed Identity,"$930,958"
364,Patterns of Evidence: Exodus,"$925,576"
365,Seymour: An Introduction,"$907,742"
366,Best of Enemies: Buckley vs. Vidal,"$892,802"
367,Love,"$861,057"
368,The Polar Express 2015 IMAX Release,"$846,602"
369,Detective Byomkesh Bakshy!,"$827,437"
370,Tangerine,"$814,868"
371,Bangistan,"$810,419"
372,The Wrecking Crew!,"$801,606"
373,Red Army,"$798,680"
374,Momentum,"$789,406"
375,The D Train,"$774,780"
376,Theeb,"$768,449"
377,Kahlil Gibran's The Prophet,"$764,498"
378,Bombay Velvet,"$758,478"
379,"Kumiko, The Treasure Hunter","$739,623"
380,Once I Was a Beehive,"$732,655"
381,Peggy Guggenheim: Art Addict,"$727,591"
382,A Tale of Love and Darkness,"$724,885"
383,Extraction,"$710,636"
384,Cobain: Montage of Heck,"$687,649"
385,"Right Now, Wrong Then","$680,728"
386,5 to 7,"$674,579"
387,The Stanford Prison Experiment,"$663,114"
388,Madame Bovary,"$658,532"
389,Welcome to Me,"$636,819"
390,Lost River,"$615,500"
391,Skin Trade,"$595,268"
392,Ixcanul,"$594,836"
393,The Black Panthers: Vanguard of the Revolution,"$584,109"
394,The Falling,"$569,498"
395,Every Thing Will Be Fine,"$554,953"
396,The Club,"$541,515"
397,On the Way to School 2015 Re-release,"$540,658"
398,Hungry Hearts,"$534,549"
399,Kill Your Friends,"$533,147"
400,Listen to Me Marlon,"$516,337"
401,Our Last Tango,"$505,885"
402,Deli Man,"$502,294"
403,Hamari Adhuri Kahani,"$498,774"
404,Kahlil Gibran's The Prophet 2015 Re-release,"$496,914"
405,Felix and Meira,"$496,714"
406,April and the Extraordinary World,"$495,879"
407,Steve Jobs: The Man in the Machine,"$494,506"
408,Cooties,"$485,544"
409,The Third Man 2015 Re-release,"$478,945"
410,Brotherly Love,"$478,595"
411,Heart of a Dog,"$476,384"
412,About Elly 2015 Re-release,"$470,760"
413,Before We Go,"$462,875"
414,Disorder,"$460,997"
415,Manglehorn,"$459,636"
416,Rosenwald,"$433,924"
417,Harmony,"$430,568"
418,Mississippi Grind,"$422,746"
419,Tales of Halloween,"$416,792"
420,The Mafia Kills Only in Summer 2015 Re-release,"$413,236"
421,Unbranded,"$412,792"
422,City of Revenge,"$409,166"
423,Song One,"$408,918"
424,The Hunting Ground,"$405,917"
425,The Apu Trilogy,"$402,723"
426,Freetown,"$401,328"
427,13 Minutes 2015 Re-release,"$395,557"
428,Hitchcock/Truffaut,"$386,471"
429,Z for Zachariah,"$381,839"
430,Miss Hokusai,"$377,702"
431,Le talent de mes amis,"$376,522"
432,Dark Awakening,"$367,925"
433,Everly,"$358,156"
434,Aferim!,"$350,110"
435,The Lady in the Car with Glasses and a Gun,"$339,461"
436,Ballet 422,"$333,554"
437,Shamitabh,"$331,821"
438,David and Goliath,"$316,100"
439,Time Out of Mind,"$314,082"
440,Merchants of Doubt,"$308,156"
441,Monsters: Dark Continent,"$306,004"
442,Microbe & Gasoline,"$303,787"
443,N.H 10,"$303,587"
444,Chic!,"$295,295"
445,Stonewall,"$292,669"
446,The Last Five Years,"$292,092"
447,The Man in 3B,"$291,513"
448,Above and Beyond,"$288,751"
449,Aloft,"$270,971"
450,Fall in Love Like a Star 2015 Re-release,"$253,785"
451,Tevar,"$242,453"
452,Boulevard,"$240,450"
453,Carter High,"$240,214"
454,After the Ball,"$234,417"
455,Experimenter,"$224,145"
456,Phantom Boy,"$221,016"
457,Club Life,"$219,229"
458,The Tribe,"$215,034"
459,Ingrid Bergman: In Her Own Words,"$214,014"
460,Chocolate City,"$212,662"
461,The Duke of Burgundy,"$185,147"
462,Lambert & Stamp,"$183,320"
463,An Honest Liar,"$180,590"
464,Lila & Eve,"$179,807"
465,People Places Things,"$177,338"
466,All Things Must Pass,"$172,394"
467,Christmas Eve,"$164,839"
468,The Look of Silence,"$157,857"
469,Hell and Back,"$157,768"
470,Queen & Country,"$155,881"
471,The Boy and the World 2015 Re-release,"$155,215"
472,Backstreet Boys: Show 'Em What You're Made Of,"$153,068"
473,In the Shadow of Women,"$152,802"
474,Songs My Brothers Taught Me,"$146,937"
475,Yellow Day 2015 Re-release,"$144,163"
476,Cop Car,"$143,658"
477,La Sapienza,"$135,392"
478,My Neighbor Totoro 2015 Re-release,"$134,877"
479,Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,"$133,443"
480,A Ballerina's Tale,"$131,995"
481,Every Secret Thing,"$124,733"
482,Marguerite & Julien,"$123,918"
483,Appropriate Behavior,"$123,699"
484,Ashby,"$122,919"
485,Do I Sound Gay?,"$122,595"
486,In Jackson Heights,"$121,094"
487,The Pearl Button,"$119,753"
488,Digging for Fire,"$119,364"
489,Neither Heaven Nor Earth,"$118,663"
490,Road Hard,"$113,169"
491,1915,"$111,682"
492,Strangerland,"$111,107"
493,Roar,"$110,048"
494,Adult Beginners,"$108,808"
495,Sworn Virgin,"$108,681"
496,The Tales of Hoffmann,"$106,860"
497,Results,"$104,507"
498,Kill Me Three Times,"$101,807"
499,A Lego Brickumentary,"$101,531"
500,Man from Reno,"$101,438"
501,James White,"$101,368"
502,Cemetery of Splendor,"$98,932"
503,The Here After,"$97,699"
504,Difret,"$97,205"
505,Sunshine Superman,"$96,715"
506,A Poem Is a Naked Person,"$96,592"
507,Queen of Earth,"$95,183"
508,Legends from the Sky,"$91,462"
509,Beasts of No Nation,"$90,777"
510,Dark Horse,"$90,136"
511,Hyena Road,"$87,768"
512,Gueros,"$86,736"
513,Tab Hunter Confidential,"$85,812"
514,Heaven Knows What,"$84,417"
515,The Diabolical,"$84,259"
516,Careful What You Wish For,"$82,230"
517,The Girl in the Book,"$81,379"
518,Nasty Baby,"$80,772"
519,Trace Amounts,"$80,735"
520,Blackbird,"$78,400"
521,Chevalier,"$77,590"
522,Eisenstein in Guanajuato 2015 Re-release,"$76,713"
523,The New Rijksmuseum - The Film,"$76,460"
524,Batkid Begins: The Wish Heard Around the World,"$74,709"
525,The Keeping Room,"$73,922"
526,War Pigs,"$73,701"
527,Partisan,"$72,151"
528,The Chambermaid Lynn,"$71,918"
529,Freaks of Nature,"$70,958"
530,Back to the Jurassic,"$69,423"
531,Noma: My Perfect Storm,"$68,622"
532,I Am Big Bird: The Caroll Spinney Story,"$67,845"
533,The Messenger,"$67,816"
534,Turbo Kid,"$67,069"
535,The Lesson,"$65,142"
536,Paulette 2015 Re-release,"$64,125"
537,I Smile Back,"$63,373"
538,Drunk Stoned Brilliant Dead,"$62,660"
539,Dark Star: HR Gigers Welt,"$61,845"
540,Rififi 2015 Re-release,"$57,749"
541,Court,"$57,416"
542,Entertainment,"$55,506"
543,What Our Fathers Did: A Nazi Legacy,"$54,603"
544,The Search for General Tso,"$54,275"
545,The Summer of Sangaile,"$53,843"
546,Love Thy Nature,"$52,947"
547,Quay,"$51,858"
548,The Yes Men Are Revolting,"$51,331"
549,Spring,"$49,970"
550,Red Herring,"$49,480"
551,The Seven Five,"$48,869"
552,The Forbidden Room,"$48,082"
553,Shanghai 2015 Re-release,"$46,425"
554,Mediterranea,"$46,392"
555,An Eye for Beauty,"$45,513"
556,River of Fundament,"$44,840"
557,Jenny's Wedding,"$42,927"
558,The Nightmare,"$41,853"
559,The Road Within,"$41,760"
560,Censored Voices,"$41,260"
561,Steve McQueen: The Man & Le Mans,"$41,203"
562,Prophet's Prey,"$39,347"
563,"3 1/2 Minutes, 10 Bullets","$39,263"
564,Out 1,"$37,743"
565,Match 2015 Re-release,"$37,285"
566,Grey Gardens,"$36,923"
567,Sister Code,"$36,676"
568,Unexpected,"$36,402"
569,Welcome to Leith,"$36,380"
570,Finders Keepers,"$35,555"
571,Cosmos,"$34,393"
572,Pierrot le Fou 2015 Re-release,"$34,371"
573,Kilo Two Bravo,"$34,017"
574,The Winding Stream,"$33,420"
575,Final Girl,"$33,411"
576,Amira & Sam,"$31,849"
577,Don Verdean,"$31,309"
578,Army of Shadows 2015 Re-release,"$30,190"
579,Runoff,"$30,186"
580,Paul Taylor: Creative Domain,"$30,168"
581,Xenia 2015 Re-release,"$29,274"
582,Rebels of the Neon God,"$28,791"
583,Americons,"$28,782"
584,"Arabian Nights - Volume 1, The Restless One","$28,245"
585,"Like Sunday, Like Rain","$28,208"
586,7 Chinese Brothers,"$28,180"
587,Bikes vs Cars,"$28,072"
588,Sembene!,"$28,059"
589,Tap World,"$26,747"
590,Peace Officer,"$26,632"
591,Rediscover Sautet,"$25,314"
592,R100,"$24,956"
593,Olvidados 2015 Re-release,"$24,638"
594,Argentina,"$23,864"
595,Can't Stand Losing You: Surviving the Police,"$23,262"
596,Metropolitan 2015 Re-release,"$22,284"
597,Slow Learners,"$22,272"
598,Princess Cut,"$22,167"
599,Animals 2015 Re-release,"$21,821"
600,Fidelio: Alice's Odyssey,"$20,571"
601,Consumed,"$20,476"
602,Boy Meets Girl,"$20,441"
603,Friends and Romans,"$20,136"
604,Forbidden Games,"$19,889"
605,Wild Canaries,"$19,777"
606,Misery Loves Comedy,"$19,634"
607,Gabo: The Creation of Gabriel Garcia Marquez,"$19,337"
608,Jackie & Ryan,"$19,305"
609,The Challenger,"$19,003"
610,Li'l Quinquin,"$17,868"
611,The Other One,"$17,727"
612,Butterfly Girl,"$17,503"
613,Eva 2015 Re-release,"$16,738"
614,This Changes Everything,"$16,692"
615,The World of Kanako 2015 Re-release,"$16,627"
616,Who Took Johnny,"$16,595"
617,Life in a Walk,"$16,557"
618,The Human Centipede III (Final Sequence),"$16,184"
619,Can You Dig This,"$15,909"
620,A Reason,"$15,792"
621,Full Moon in Paris,"$15,726"
622,Dreams Rewired,"$15,626"
623,They Will Have to Kill Us First: Malian Music In Exile,"$15,453"
624,"Arabian Nights - Volume 2, The Desolate One","$15,245"
625,Cheatin',"$15,077"
626,Gloria,"$14,701"
627,10 Days in a Madhouse,"$14,616"
628,Buzzard,"$14,591"
629,Gone Doggy Gone,"$14,354"
630,Blackfoot Trail,"$13,848"
631,Eli,"$13,547"
632,Yakuza Apocalypse,"$12,756"
633,The Armor of Light,"$12,267"
634,Wa-shoku Dream: Beyond Sushi,"$12,240"
635,A Murder in the Park,"$12,088"
636,Little England 2015 Re-release,"$12,077"
637,Emptying the Skies,"$11,811"
638,Just Before I Go,"$10,970"
639,Digging Up the Marrow,"$10,969"
640,The Forecaster,"$10,824"
641,Bleeding Heart,"$10,815"
642,Mala Mala,"$10,761"
643,Little Accidents,"$10,071"
644,The Life and Mind of Mark DeFriest,"$10,021"
645,52 Tuesdays,"$9,844"
646,"One Cut, One Life","$9,406"
647,Cupcakes,"$9,129"
648,Gerontophilia 2015 Re-release,"$9,074"
649,Station to Station,"$9,000"
650,B-Side,"$8,870"
651,The Pardon,"$8,845"
652,Dawn of the Crescent Moon,"$8,799"
653,Meet Me in Montenegro,"$8,612"
654,Farewell to Hollywood,"$8,601"
655,Counting,"$8,374"
656,Jellyfish Eyes,"$8,176"
657,Steak (R)evolution,"$8,038"
658,Straight Outta Tompkins,"$8,022"
659,One Small Hitch 2015 Re-release,"$7,965"
660,Bleak Street,"$7,888"
661,The Great Man,"$7,814"
662,Area 51,"$7,556"
663,Rubble Kings,"$7,416"
664,Antarctic Edge: 70° South,"$7,193"
665,Gabriel,"$6,959"
666,The Sisterhood of Night,"$6,870"
667,"Arabian Nights - Volume 3, The Enchanted One","$6,681"
668,Horse Money,"$6,508"
669,Ride,"$6,489"
670,Tu Dors Nicole,"$6,445"
671,The Suicide Theory,"$6,434"
672,The Night of the Shooting Stars 2015 Re-release,"$6,186"
673,The Marquise of O,"$6,048"
674,"Sex, Death and Bowling","$5,972"
675,Medeas,"$5,895"
676,Top Spin,"$5,858"
677,Shout Gladi Gladi,"$5,839"
678,Black November,"$5,782"
679,The Wanted 18,"$5,680"
680,This Isn't Funny,"$5,654"
681,Our Man in Tehran,"$5,573"
682,The Living,"$5,514"
683,She's Lost Control,"$5,319"
684,Sarajevo,"$5,247"
685,The Princess of France,"$5,212"
686,Death Valley,"$5,211"
687,On War 2015 Re-release,"$5,086"
688,SBK: The Movie,"$4,950"
689,Guidance,"$4,900"
690,Miss Hill: Making Dance Matter,"$4,706"
691,Against the Sun,"$4,646"
692,Seeds of Time,"$4,630"
693,"Farewell, Herr Schwarz","$4,445"
694,Days of Grace 2015 Re-release,"$4,308"
695,Set Fire to the Stars,"$4,280"
696,The Knife of Don Juan,"$4,254"
697,Three Night Stand,"$4,076"
698,The Iron Ministry,"$3,885"
699,Unfreedom,"$3,778"
700,The Free Speech Apocalypse,"$3,726"
701,Hyena,"$3,586"
702,Mi America,"$3,330"
703,Know How,"$3,323"
704,Drunk Wedding,"$3,301"
705,Windsor Drive,"$3,256"
706,Blackhats,"$3,216"
707,Moana,"$2,993"
708,Julia,"$2,710"
709,Chocolat 2015 Re-release,"$2,710"
710,Body,"$2,634"
711,Hayride 2,"$2,571"
712,The Reflektor Tapes,"$2,424"
713,L.A. Slasher,"$2,421"
714,Anita Ho,"$2,250"
715,Me You and Five Bucks,"$2,105"
716,Sneakerheadz,"$1,903"
717,The Other Man: F.W. de Klerk and the End of Apartheid,"$1,747"
718,Dark Forest,"$1,739"
719,The Looking Glass,"$1,711"
720,Drown,"$1,631"
721,Cut Snake,"$1,625"
722,Forever,"$1,598"
723,Making Rounds,"$1,484"
724,Along the Roadside 2015 Re-release,"$1,352"
725,3 Nights in the Desert,"$1,297"
726,Childless,"$1,036"
727,They Are We,$900
728,Big Muddy,$881
729,It's All So Quiet 2015 Re-release,$724
730,It's Hard Being Loved by Jerks 2015 Re-release,$697
731,The 11th Hour,$510
732,Paranoid Girls,$78
733,Confession of a Child of the Century 2015 Re-release,$74
